date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:17	61581/61581	---M--	200	added ('OK')	text/html	etag:%221-1759357179;;;%22	https://rh-systems.eu/	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/index.html	(from )
13:57:17	457/457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22328-64104a9b-f5f7935674566a72;gz%22	https://rh-systems.eu/robots.txt		(from )
13:57:17	15927/15927	---M-Z	200	added ('OK')	text/css	etag:%223e37-67342151-4f26a8ff92cf76f2;gz%22	https://rh-systems.eu/wp-includes/blocks/gallery/style.min.css?ver=6.8.3	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-includes/blocks/gallery/style.min32d4.css	(from https://rh-systems.eu/)
13:57:17	16449/16449	---M-Z	200	added ('OK')	text/css	etag:%224041-67ff19fb-a9dcce182b3e34eb;gz%22	https://rh-systems.eu/wp-includes/blocks/navigation/style.min.css?ver=6.8.3	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-includes/blocks/navigation/style.min32d4.css	(from https://rh-systems.eu/)
13:57:18	6322/6322	---M-Z	200	added ('OK')	text/css	etag:%2218b2-68bb9f81-c3e65f087b7d37ba;gz%22	https://rh-systems.eu/wp-content/themes/raft/assets/css/build/style.css?ver=1.1.10	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/css/build/style6191.css	(from https://rh-systems.eu/)
13:57:18	203721/203721	---MC-	200	added ('OK')	application/json	etag:%224-1759751838;;;%22	https://rh-systems.eu/index.php?rest_route=/	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/index52f0.json	(from https://rh-systems.eu/)
13:57:18	795/795	---M-Z	403	error ('Forbidden')	text/html	etag:%2231b-64104a9b-fa0a706fbb834a89;gz%22	https://rh-systems.eu/xmlrpc.php?rsd	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/xmlrpc0db0.php	(from https://rh-systems.eu/)
13:57:18	192088/192088	---M--	200	added ('OK')	font/ttf	etag:%222ee58-68bb9f81-115e3eaf43e0914f;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/readex-pro/ReadexPro-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/readex-pro/ReadexPro-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:18	428448/428448	---M--	200	added ('OK')	font/woff2	etag:%22689a0-68bb9f81-d8cee0963b29d24d;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/source-serif-pro/SourceSerif4Variable-Roman.ttf.woff2	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/source-serif-pro/SourceSerif4Variable-Roman.ttf.woff2	(from https://rh-systems.eu/)
13:57:19	346840/346840	---M--	200	added ('OK')	font/woff2	etag:%2254ad8-68bb9f81-dd06557089c3cd53;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/source-serif-pro/SourceSerif4Variable-Italic.ttf.woff2	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/source-serif-pro/SourceSerif4Variable-Italic.ttf.woff2	(from https://rh-systems.eu/)
13:57:19	60660/60660	---M--	200	added ('OK')	font/ttf	etag:%22ecf4-68bb9f81-5fcf47ffd958a511;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/figtree/Figtree-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/figtree/Figtree-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:19	60764/60764	---M--	200	added ('OK')	font/ttf	etag:%22ed5c-68bb9f81-bea12e5f1c7af4d2;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/figtree/Figtree-Italic-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/figtree/Figtree-Italic-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:19	75856/75856	---M--	200	added ('OK')	font/ttf	etag:%2212850-68bb9f81-76daf4221096b423;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/outfit/Outfit-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/outfit/Outfit-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:19	143784/143784	---M--	200	added ('OK')	font/ttf	etag:%22231a8-68bb9f82-9e832263e6841e7c;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/spline-sans/SplineSans-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/spline-sans/SplineSans-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:20	343100/343100	---M--	200	added ('OK')	font/ttf	etag:%2253c3c-68bb9f81-ca15db019e4cd776;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/geologica/Geologica-VariableFont_CRSV,SHRP,slnt,wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/geologica/Geologica-VariableFont_CRSV,SHRP,slnt,wght.ttf	(from https://rh-systems.eu/)
13:57:20	95156/95156	---M--	200	added ('OK')	font/ttf	etag:%22173b4-68bb9f81-46ff97eb3c97b4b0;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/gloock/Gloock-Regular.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/gloock/Gloock-Regular.ttf	(from https://rh-systems.eu/)
13:57:20	116244/116244	---M--	200	added ('OK')	font/ttf	etag:%221c614-68bb9f82-87f866e3e24222bf;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/spline-sans-mono/SplineSansMono-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/spline-sans-mono/SplineSansMono-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:20	127276/127276	---M--	200	added ('OK')	font/ttf	etag:%221f12c-68bb9f82-6b00e1ed5e9056ce;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/spline-sans-mono/SplineSansMono-Italic-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/spline-sans-mono/SplineSansMono-Italic-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:21	212004/212004	---M--	200	added ('OK')	font/ttf	etag:%2233c24-68bb9f81-5f3bd31d45031377;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/lora/Lora-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/lora/Lora-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:21	220096/220096	---M--	200	added ('OK')	font/ttf	etag:%2235bc0-68bb9f81-e426c0d2d5471145;;;%22	https://rh-systems.eu/wp-content/themes/raft/assets/fonts/lora/Lora-Italic-VariableFont_wght.ttf	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/themes/raft/assets/fonts/lora/Lora-Italic-VariableFont_wght.ttf	(from https://rh-systems.eu/)
13:57:21	130647/130647	---M--	200	added ('OK')	image/jpeg	etag:%221fe57-6421a05b-3eae08fea9cd5a63;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/de8e3fcc62a94c1f71c5aff6525a708ff68ec855-1024x682.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/de8e3fcc62a94c1f71c5aff6525a708ff68ec855-1024x682.jpg	(from https://rh-systems.eu/)
13:57:21	111039/111039	---M--	200	added ('OK')	image/jpeg	etag:%221b1bf-6421a05b-9fa8c0a7c785acba;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/TOBA-bedrijfsverzamelgebouw-Uithoorn-4-1024x682.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/TOBA-bedrijfsverzamelgebouw-Uithoorn-4-1024x682.jpg	(from https://rh-systems.eu/)
13:57:21	54375/54375	---M--	200	added ('OK')	image/jpeg	etag:%22d467-6421a05b-9ae923f264c40ebe;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/rijswijk_comphaan_02_img_0410_6d_a.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/rijswijk_comphaan_02_img_0410_6d_a.jpg	(from https://rh-systems.eu/)
13:57:22	104537/104537	---M--	200	added ('OK')	image/jpeg	etag:%2219859-6421a05b-f3447aebe89fcebf;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/tconst01-1024x484.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/tconst01-1024x484.jpg	(from https://rh-systems.eu/)
13:57:22	119965/119965	---M--	200	added ('OK')	image/jpeg	etag:%221d49d-6421a05b-17c415599890a228;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/storestudios-maassluis-in-uitvoering-december-2015-03.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/storestudios-maassluis-in-uitvoering-december-2015-03.jpg	(from https://rh-systems.eu/)
13:57:22	119101/119101	---M--	200	added ('OK')	image/jpeg	etag:%221d13d-6421a05b-29f40711daf5ae1;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/impressie-gevels-nieuwe-fase-harbour-village.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/impressie-gevels-nieuwe-fase-harbour-village.jpg	(from https://rh-systems.eu/)
13:57:22	97391/97391	---M--	200	added ('OK')	image/jpeg	etag:%2217c6f-6421a05b-f13257515d732258;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/BEN_05-1024x727.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/BEN_05-1024x727.jpg	(from https://rh-systems.eu/)
13:57:23	96331/96331	---M--	200	added ('OK')	image/jpeg	etag:%221784b-6421a05b-8c3584dceb078c20;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/BEN_04-1024x588.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/BEN_04-1024x588.jpg	(from https://rh-systems.eu/)
13:57:23	128077/128077	---M--	200	added ('OK')	image/jpeg	etag:%221f44d-6421a05b-137053e72255a5ac;;;%22	https://rh-systems.eu/wp-content/uploads/2023/03/Bedrijfsruimte-Architect-Diemen-640x960-2-683x1024.jpg	E:/projecten/tulip%20holding%20website/rh-systems/rh-systems.eu/wp-content/uploads/2023/03/Bedrijfsruimte-Architect-Diemen-640x960-2-683x1024.jpg	(from https://rh-systems.eu/)
